time,x,y,yaw,vx,vy,yaw_rate,lat_accel_g
3.06,144.557,0.0238434,0.0189438,63.7843,-0.384348,0.507405,3.29913
3.07,145.195,0.0330249,0.0241919,63.8706,-0.547931,0.537525,3.4997
3.08,145.834,0.0440134,0.029689,63.9556,-0.714794,0.558452,3.64079
3.09,146.474,0.0569438,0.0353532,64.0391,-0.879829,0.571945,3.73362
3.1,147.115,0.0719484,0.0411186,64.1211,-1.03926,0.579515,3.78788
3.11,147.756,0.0891535,0.0469333,64.2018,-1.19041,0.582451,3.81187
3.12,148.398,0.108678,0.052757,64.2812,-1.33149,0.581842,3.81259
3.13,149.041,0.130633,0.0585594,64.3595,-1.46143,0.578593,3.79592
3.14,149.685,0.155119,0.0643183,64.4367,-1.57973,0.573456,3.76673
3.15,150.33,0.182227,0.0700184,64.513,-1.68632,0.567041,3.729
3.16,150.975,0.212039,0.0756497,64.5885,-1.78145,0.55984,3.68595
3.17,151.62,0.244629,0.0812065,64.6633,-1.86563,0.552241,3.64014
3.18,152.267,0.28006,0.0866866,64.7375,-1.93953,0.544548,3.59354
3.19,152.914,0.318388,0.0920903,64.8112,-2.00392,0.536988,3.54769
3.2,153.561,0.359661,0.09742,64.8845,-2.05964,0.52973,3.5037
3.21,154.209,0.403923,0.102679,64.9573,-2.10753,0.522892,3.46235
3.22,154.858,0.451207,0.107873,65.0299,-2.14845,0.516551,3.42419
3.23,155.507,0.501545,0.113006,65.1022,-2.18323,0.510752,3.38951
3.24,156.157,0.554963,0.118084,65.1742,-2.21265,0.505513,3.35846
3.25,156.807,0.611481,0.123113,65.2461,-2.23744,0.500836,3.33105
3.26,157.457,0.671117,0.128098,65.3177,-2.25828,0.496704,3.30719
3.27,158.108,0.733888,0.133045,65.3891,-2.27576,0.493092,3.28673
3.28,158.759,0.799804,0.137959,65.4604,-2.29045,0.489966,3.26946
3.29,159.411,0.868877,0.142843,65.5315,-2.30282,0.487289,3.25513
3.3,160.063,0.941114,0.147703,65.6025,-2.31332,0.48502,3.24348
3.31,160.716,1.01652,0.152543,65.6733,-2.32229,0.483118,3.23425
3.32,161.369,1.09511,0.157365,65.744,-2.33008,0.481543,3.22717
3.33,162.022,1.17688,0.162173,65.8145,-2.33694,0.480255,3.22199
3.34,162.675,1.26184,0.16697,65.8849,-2.34311,0.479217,3.21846
3.35,163.329,1.34998,0.171757,65.9551,-2.34879,0.478394,3.21637
3.36,163.983,1.44133,0.176537,66.0252,-2.35412,0.477755,3.21548
3.37,164.637,1.53586,0.181312,66.0952,-2.35923,0.477271,3.21563
3.38,165.292,1.6336,0.186083,66.165,-2.36423,0.476917,3.21664
3.39,165.946,1.73454,0.190851,66.2346,-2.3692,0.476669,3.21835
3.4,166.601,1.83869,0.195616,66.3041,-2.37419,0.476507,3.22063
3.41,167.256,1.94604,0.200381,66.3735,-2.37926,0.476413,3.22337
3.42,167.912,2.0566,0.205145,66.4427,-2.38443,0.476374,3.22646
3.43,168.567,2.17037,0.209908,66.5117,-2.38972,0.476376,3.22983
3.44,169.223,2.28736,0.214672,66.5806,-2.39515,0.476409,3.23339
3.45,169.878,2.40756,0.219437,66.6493,-2.40072,0.476463,3.2371
3.46,170.534,2.53098,0.224202,66.7178,-2.40643,0.476532,3.24089
3.47,171.19,2.65762,0.228967,66.7862,-2.41229,0.476608,3.24474
3.48,171.846,2.78749,0.233734,66.8544,-2.41827,0.476689,3.2486
3.49,172.502,2.92058,0.238501,66.9225,-2.42438,0.47677,3.25246
3.5,173.158,3.0569,0.243269,66.9904,-2.4306,0.476848,3.25629
3.51,173.814,3.19645,0.248038,67.0581,-2.43692,0.476921,3.26008
3.52,174.47,3.33924,0.252808,67.1257,-2.44334,0.476987,3.26382
3.53,175.126,3.48526,0.257578,67.1931,-2.44983,0.477047,3.26751
3.54,175.782,3.63452,0.262349,67.2603,-2.45639,0.477099,3.27113
3.55,176.438,3.78701,0.26712,67.3274,-2.463,0.477143,3.2747
3.56,177.094,3.94276,0.271892,67.3943,-2.46967,0.477179,3.2782
3.57,177.75,4.10174,0.276664,67.461,-2.47637,0.477207,3.28164
3.58,178.405,4.26397,0.281436,67.5276,-2.48311,0.477228,3.28502
3.59,179.061,4.42945,0.286208,67.594,-2.48987,0.477242,3.28835
3.6,179.716,4.59819,0.290981,67.6603,-2.49664,0.47725,3.29163
3.61,180.372,4.77017,0.295753,67.7263,-2.50343,0.477252,3.29485
3.62,181.027,4.94541,0.300526,67.7923,-2.51022,0.477248,3.29804
3.63,181.681,5.1239,0.305298,67.858,-2.51702,0.47724,3.30118
3.64,182.336,5.30565,0.310071,67.9236,-2.52381,0.477228,3.30428
3.65,182.99,5.49066,0.314843,67.989,-2.5306,0.477212,3.30735
3.66,183.645,5.67894,0.319615,68.0543,-2.53738,0.477192,3.31039
3.67,184.299,5.87047,0.324387,68.1194,-2.54416,0.47717,3.31341
3.68,184.952,6.06526,0.329158,68.1843,-2.55092,0.477145,3.31639
3.69,185.605,6.26332,0.333929,68.2491,-2.55767,0.477118,3.31936
3.7,186.258,6.46465,0.3387,68.3137,-2.56441,0.47709,3.3223
3.71,186.911,6.66923,0.343471,68.3781,-2.57113,0.47706,3.32522
3.72,187.563,6.87709,0.348242,68.4424,-2.57784,0.477028,3.32813
3.73,188.215,7.08821,0.353012,68.5065,-2.58453,0.476996,3.33102
3.74,188.867,7.3026,0.357781,68.5705,-2.5912,0.476963,3.3339
3.75,189.518,7.52026,0.362551,68.6343,-2.59787,0.476929,3.33676
3.76,190.169,7.74119,0.36732,68.6979,-2.60451,0.476894,3.33962
3.77,190.819,7.96538,0.372089,68.7614,-2.61114,0.476859,3.34246
3.78,191.469,8.19285,0.376857,68.8248,-2.61776,0.476823,3.34528
3.79,192.118,8.42358,0.381625,68.8879,-2.62436,0.476787,3.3481
3.8,192.767,8.65758,0.386393,68.9509,-2.63094,0.476751,3.35091
3.81,193.415,8.89485,0.39116,69.0138,-2.63751,0.476714,3.35371
3.82,194.063,9.13539,0.395927,69.0765,-2.64407,0.476678,3.3565
3.83,194.71,9.37919,0.400694,69.139,-2.65061,0.476641,3.35927
3.84,195.357,9.62626,0.40546,69.2014,-2.65713,0.476604,3.36204
3.85,196.003,9.8766,0.410226,69.2636,-2.66365,0.476566,3.3648
3.86,196.648,10.1302,0.414991,69.3257,-2.67014,0.476529,3.36755
3.87,197.293,10.3871,0.419756,69.3876,-2.67663,0.476491,3.37029
3.88,197.937,10.6472,0.424521,69.4493,-2.6831,0.476453,3.37302
3.89,198.581,10.9106,0.429285,69.5109,-2.68955,0.476415,3.37574
3.9,199.224,11.1773,0.434049,69.5723,-2.696,0.476377,3.37846
3.91,199.866,11.4472,0.438813,69.6336,-2.70243,0.476339,3.38116
3.92,200.507,11.7204,0.443576,69.6947,-2.70884,0.4763,3.38385
3.93,201.148,11.9968,0.448339,69.7557,-2.71524,0.476261,3.38654
3.94,201.788,12.2765,0.453101,69.8165,-2.72163,0.476222,3.38921
3.95,202.427,12.5594,0.457863,69.8772,-2.72801,0.476183,3.39188
3.96,203.066,12.8456,0.462625,69.9377,-2.73437,0.476144,3.39454
3.97,203.703,13.1351,0.467386,69.998,-2.74072,0.476104,3.39718
3.98,204.34,13.4278,0.472147,70.0582,-2.74706,0.476064,3.39982
3.99,204.976,13.7237,0.476907,70.1183,-2.75338,0.476024,3.40245
4,205.611,14.0229,0.481667,70.1782,-2.75969,0.475984,3.40506
4.01,206.245,14.3253,0.486427,70.2379,-2.76599,0.475943,3.40767
4.02,206.879,14.631,0.491186,70.2975,-2.77227,0.475903,3.41027
4.03,207.511,14.9399,0.495945,70.357,-2.77854,0.475862,3.41286
4.04,208.143,15.2521,0.500703,70.4162,-2.7848,0.47582,3.41544
4.05,208.773,15.5674,0.505461,70.4754,-2.79104,0.475779,3.41801
4.06,209.403,15.886,0.510219,70.5344,-2.79727,0.475737,3.42057
4.07,210.032,16.2079,0.514976,70.5932,-2.80349,0.475695,3.42313
4.08,210.659,16.5329,0.519733,70.6519,-2.8097,0.475653,3.42567
4.09,211.286,16.8612,0.524489,70.7104,-2.81589,0.475611,3.4282
4.1,211.911,17.1927,0.529245,70.7688,-2.82207,0.475569,3.43073
4.11,212.536,17.5274,0.534,70.827,-2.82824,0.475526,3.43324
4.12,213.159,17.8653,0.538755,70.8851,-2.83439,0.475483,3.43574
4.13,213.782,18.2064,0.54351,70.9431,-2.84053,0.47544,3.43824
